date,title,graphic
11/11/2020,2020SeasonalWarming,"2020SeasonalWarming, 2020SeasonalWarming_Map"
11/4/2020,2020YaleClimateMaps,
10/28/2020,2020Halloween,2020Halloween
10/21/2020,2020Drought,"2020Drought, 2020Drought_Map"
10/14/2020,2020ConcurrentFloods,"2020ConcurrentFloods_Trend, 2020ConcurrentFloods, 2020ConcurrentFloods_US"
10/7/2020,2020LastDayAbove,2020LastDayAbove
9/29/2020,2020PowerOutages,"2020PowerOutages_Line, 2020PowerOutages_Map, 2020PowerOutages"
9/23/2020,2020HurricanesII,"2020Hurricanes_OceanT, 2020Hurricanes_US, 2020Hurricanes_Global"
9/21/2020,2020ArcticMin,2020ArcticMin
9/16/2020,2020Records,"2020Records, 2020Records_Map, 2020Records_Map.gif"
9/9/2020,2020WesternWildfires,"2020Wildfire, 2020Wildfire_TotalAcresBurned"
9/2/2020,2020FallPackage,"2020FallPackage_AvgT, 2020FallPackage_DaysAbove, 2020FallPackage_Map"